src_ip,dst_ip,src_port,dst_port,protocol,duration,total_packets,total_bytes,min_packet_size,max_packet_size,avg_packet_size,std_packet_size,syn_count,ack_count,fin_count,rst_count,psh_count,urg_count,packets_per_second,bytes_per_second,bytes_per_packet,forward_packets,backward_packets,forward_bytes,backward_bytes,forward_backward_ratio,avg_iat,std_iat,min_iat,max_iat,syn_ack_ratio,is_port_22,is_port_6200,is_ftp_port,is_ftp_data_port,label
10.0.2.4,10.0.2.5,39499,22,TCP,744.9785580635071,51,10836,66,1602,212.47058823529412,343.6035878822227,4,49,4,0,26,0,0.06845834614699395,14.545385075467186,212.47058823529412,25,26,5476,5360,0.9615384615384616,14.899571161270142,103.75627696150066,1.6927719116210938e-05,741.1892929077148,0.08163265306122448,1,0,0,0,2
192.168.113.129,192.168.113.130,52932,21,TCP,0.007927894592285156,33,2630,66,124,79.6969696969697,14.70206097381825,2,32,2,0,23,0,4162.517502706604,331740.0312763142,79.6969696969697,15,18,1064,1566,0.8333333333333334,0.00024774670600891113,0.0003020701342710631,2.1457672119140625e-06,0.0016300678253173828,0.0625,0,0,1,0,0
10.0.2.4,10.0.2.5,43007,22,TCP,1.7002060413360596,26,5451,66,1602,209.65384615384616,340.87770673182126,2,25,2,0,13,0,15.292264212617798,3206.0820085761393,209.65384615384616,13,13,2771,2680,1.0,0.06800824165344238,0.3106109591796595,9.5367431640625e-07,1.5888798236846924,0.08,1,0,0,0,2
192.168.113.129,192.168.113.130,33886,21,TCP,0.00707697868347168,33,2630,66,124,79.6969696969697,14.70206097381825,2,32,2,0,23,0,4663.006838931375,371627.51473907626,79.6969696969697,15,18,1064,1566,0.8333333333333334,0.00022115558385849,0.00025946711004770965,1.9073486328125e-06,0.0014731884002685547,0.0625,0,0,1,0,0
10.0.2.4,10.0.2.5,32815,22,TCP,1.9445078372955322,25,5385,66,1602,215.4,346.39145485996045,2,24,2,0,13,0,12.856723701752005,2769.3382853573817,215.4,12,13,2705,2680,0.9230769230769231,0.08102115988731384,0.36511669780960504,9.5367431640625e-07,1.8313729763031006,0.08333333333333333,1,0,0,0,2
192.168.113.129,192.168.113.130,37548,21,TCP,0.006807088851928711,33,2611,66,124,79.12121212121212,14.747896769940544,2,32,2,0,23,0,4847.887359462015,383570.724107737,79.12121212121212,15,18,1060,1551,0.8333333333333334,0.00021272152662277222,0.00028534640812294165,9.5367431640625e-07,0.0016260147094726562,0.0625,0,0,1,0,0
10.0.2.4,10.0.2.5,33509,22,TCP,622.3280160427094,52,10902,66,1602,209.65384615384616,340.8777067318213,4,50,4,0,26,0,0.08355722168939174,17.518092901110553,209.65384615384616,26,26,5542,5360,1.0,12.202510118484497,85.77720720650495,0.0,618.7345688343048,0.08,1,0,0,0,2
192.168.113.129,192.168.113.130,39211,21,TCP,9.830175876617432,19,1334,54,100,70.21052631578948,12.068135282498117,2,14,2,4,7,0,1.9328240143896498,135.70459132609437,70.21052631578948,10,9,646,688,1.1111111111111112,0.5461208820343018,2.2417370166322077,0.0,9.788982152938843,0.14285714285714285,0,0,1,0,1
192.168.113.129,192.168.113.130,43306,22,TCP,0.006412029266357422,13,3264,66,1602,251.07692307692307,441.2615588441956,2,12,2,0,4,0,2027.4392801368335,509043.216182048,251.07692307692307,6,7,1972,1292,0.8571428571428571,0.0005343357721964518,0.0009747146318837039,5.412101745605469e-05,0.0037310123443603516,0.16666666666666666,1,0,0,0,0
10.0.2.4,10.0.2.5,45637,22,TCP,2.5085179805755615,26,5451,66,1602,209.65384615384616,340.87770673182126,2,25,2,0,13,0,10.364685524013858,2172.996184284598,209.65384615384616,13,13,2771,2680,1.0,0.10034071922302246,0.4697138715123055,1.0013580322265625e-05,2.400986909866333,0.08,1,0,0,0,2
